hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,272,RC,11 Fr Sheath 23cm Length,both,,,,max,41.65,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212109,CDM,11 G Bone Biopsy Kit #306-115,both,,,,gross,138.43,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212109,CDM,11 G Bone Biopsy Kit #306-115,both,,,,discounted_cash,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212109,CDM,11 G Bone Biopsy Kit #306-115,both,,,,min,127.77089,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653212109,CDM,11 G Bone Biopsy Kit #306-115,both,,,,max,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212109,LOCAL,11 G Bone Biopsy Kit #306-115,both,,,,gross,138.43,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212109,LOCAL,11 G Bone Biopsy Kit #306-115,both,,,,discounted_cash,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212109,LOCAL,11 G Bone Biopsy Kit #306-115,both,,,,min,127.77089,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653212109,LOCAL,11 G Bone Biopsy Kit #306-115,both,,,,max,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Bone Biopsy Kit #306-115,both,,,,gross,138.43,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,11 G Bone Biopsy Kit #306-115,both,,,,discounted_cash,135.6614,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
